# Spinless Fermi-Hubbard model DMRG. This file contains many sizes. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; t; E; μ+; μ- [calculated 2025-05-19T16:30:00.067]
10; -1.5; -8.335518990057077; 2.3329010173031675; 0.3329010173031648
10; -1.1666666666666667; -6.200289554429591; 2.134301595672548; 0.1343015956725475
10; -0.8333333333333334; -4.082262322454334; 1.9419780481920872; -0.058021951807911254
10; -0.5; -2.0154463544920445; 1.769757242718804; -0.23024275728119625
10; -0.16666666666666666; -0.2802366049262177; 1.7448136302405906; -0.25518636975940934
10; 0.16666666666666666; -0.2802366049262177; 1.7448136302405906; -0.25518636975940934
10; 0.5; -2.0154463544920445; 1.769757242718804; -0.23024275728119625
10; 0.8333333333333334; -4.082262322454334; 1.9419780481920872; -0.058021951807911254
10; 1.1666666666666667; -6.200289554429591; 2.134301595672548; 0.1343015956725475
10; 1.5; -8.335518990057077; 2.3329010173031675; 0.3329010173031648
20; -1.5; -16.149248218790696; 1.6779228945158238; -0.32207709838275633
20; -1.1666666666666667; -11.985626558863743; 1.580405567058282; -0.4195944289430624
20; -0.8333333333333334; -7.8574437261979995; 1.4882642142298073; -0.5117357823752613
20; -0.5; -3.83619584818442; 1.4170530461987916; -0.582946960147477
20; -0.16666666666666666; -0.5124047823464339; 1.560034795691184; -0.4399651998364562
20; 0.16666666666666666; -0.5124047823464339; 1.560034795691184; -0.4399651998364562
20; 0.5; -3.83619584818442; 1.4170530461987916; -0.582946960147477
20; 0.8333333333333334; -7.8574437261979995; 1.4882642142298073; -0.5117357823752613
20; 1.1666666666666667; -11.985626558863743; 1.580405567058282; -0.4195944289430624
20; 1.5; -16.149248218790696; 1.6779228945158238; -0.32207709838275633
30; -1.5; -24.495047503621528; 1.4578189064931806; -0.5421810925976054
30; -1.1666666666666667; -18.18443106165829; 1.3919953290462104; -0.6080046725651176
30; -0.8333333333333334; -11.925794124504893; 1.3301017947433715; -0.6698982068671242
30; -0.5; -5.8219620156743055; 1.2846701763887194; -0.7153298236011354
30; -0.16666666666666666; -0.7824728242936975; 1.4863203106533818; -0.5136796893033497
30; 0.16666666666666666; -0.7824728242936975; 1.4863203106533818; -0.5136796893033497
30; 0.5; -5.8219620156743055; 1.2846701763887194; -0.7153298236011354
30; 0.8333333333333334; -11.925794124504893; 1.3301017947433715; -0.6698982068671242
30; 1.1666666666666667; -18.18443106165829; 1.3919953290462104; -0.6080046725651176
30; 1.5; -24.495047503621528; 1.4578189064931806; -0.5421810925976054
# [finished 2025-05-19T16:53:25.168]
