# SFH Charge gaps. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; hΔ-1; hΔ+1; hΔ-2; hΔ+2; uΔ-1; uΔ-2 [calculated 2025-06-01T17:57:40.435]
30; -2.0; -1.9159462796589075; 2.0840537206336798; -3.9999974304299677; 4.000004254522427; 2.000013199287082; 4.021289106713205
30; -1.793103448275862; -1.6925008402408466; 1.8937060480783465; -3.554387184276205; 3.6180266014438374; 1.5862200958388755; 3.2035730702162937
30; -1.5862068965517242; -1.4731037099894735; 1.6993100830988759; -3.105116194396942; 3.2397114044102224; 1.1724269923905126; 2.3806904800029116
30; -1.3793103448275863; -1.254235358226314; 1.5043853208523572; -2.6531854915853508; 2.8640558806949095; 0.7586338889422493; 1.5557170750410947
30; -1.1724137931034482; -1.0354252815316833; 1.3094023011255551; -2.1988928067267786; 2.4907623679819366; 0.3448407854939788; 0.7297667738095015
30; -0.9655172413793104; -0.8164933211094905; 1.1145411587066327; -1.7423600934357424; 2.119708858895713; -0.06895231795430945; -0.09670612157024294
30; -0.7586206896551724; -0.5973425411035116; 0.9198988374371098; -1.2836228127720943; 1.7508599336529045; -0.482745421402587; -0.9234881526321601
30; -0.5517241379310345; -0.37790630405373804; 0.7255419698453913; -0.822659742060381; 1.384236809663772; -0.896538524850854; -1.7504672404107033
30; -0.3448275862068966; -0.1581308356423179; 0.5315243373167924; -0.3594031348975264; 1.0199072099300572; -1.3103316282991297; -2.577579348294952
30; -0.13793103448275862; 0.062035832223234166; 0.3378979318231252; 0.10625944651797425; 0.657983584449017; -1.7241247317474055; -3.4047852317037224
30; 0.06896551724137931; 0.2826485178499176; 0.14471759455689792; 0.5744864450838456; 0.29862437761023486; -2.137917835195679; -4.232059760863307
30; 0.27586206896551724; 0.5037695005536094; -0.047954678239896964; 1.045488885913553; -0.05795939210068113; -2.5517109386439536; -5.059385938161834
30; 0.4827586206896552; 0.72547845184625; -0.24003879713982101; 1.5195406381034253; -0.4114938475705934; -2.965504042092217; -5.8867519415689475
30; 0.6896551724137931; 0.9478755625879067; -0.4314347855973928; 1.9969886910742005; -0.7616319929099333; -3.379297145540523; -6.714149299493339
30; 0.896551724137931; 1.1710976256174952; -0.6220058452766111; 2.4782692640205255; -1.1079376355417203; -3.793090248988804; -7.541571787008966
30; 1.103448275862069; 1.3953314839711766; -0.8115650686165896; 2.9639248110128005; -1.4498682975884432; -4.206883352437025; -8.369014681002792
30; 1.3103448275862069; 1.620839028062143; -0.9998506308280248; 3.454625001552092; -1.7867542976131663; -4.620676455885317; -9.196474448476518
30; 1.5172413793103448; 1.8479891686265333; -1.1864936071306964; 3.951191276329963; -2.1177742398551658; -5.034469559333587; -10.023948222649821
30; 1.7241379310344827; 2.0773001064998162; -1.370975764200466; 4.454624676370992; -2.441927047844551; -5.4482626627819215; -10.851433834556197
30; 1.9310344827586208; 2.3094911563904432; -1.5525778456620607; 4.966137187295106; -2.75800074401684; -5.862055766230121; -11.678929536405015
30; 2.1379310344827585; 2.54554162393692; -1.7303204756740236; 5.48718382646709; -3.064540309881508; -6.2758488696784696; -12.506433830016277
30; 2.3448275862068964; 2.7867418459891606; -1.9029133233933706; 6.019483637683339; -3.3598267061458458; -6.689641973126726; -13.333945570908803
30; 2.5517241379310347; 3.0347123215365155; -2.0687351714606095; 6.565008183119153; -3.6418883421775927; -7.1034350765750105; -14.161463785658675
30; 2.7586206896551726; 3.291344506273849; -2.2258962333371386; 7.125899666895421; -3.9085830917252693; -7.517228180023281; -14.988987675038985
30; 2.9655172413793105; 3.5586158095894582; -2.372418889116048; 7.704267700404367; -4.157801265112893; -7.931021283471495; -15.816516548965737
30; 3.1724137931034484; 3.8382615500307935; -2.506565759574329; 8.301859250861533; -4.387795921532366; -8.34481438691985; -16.64404984085533
30; 3.3793103448275863; 4.131400277575656; -2.6272203746650327; 8.919684258216131; -4.597557130383144; -8.758607490368192; -17.471587049741487
30; 3.586206896551724; 4.438273429015731; -2.7341403755004805; 9.557776356032532; -4.787051230534036; -9.172400593816448; -18.29912776125711
30; 3.793103448275862; 4.75826071033994; -2.827946070006478; 10.215224131363476; -4.9571896617399815; -9.586193697264505; -19.126671612786836
30; 4.0; 5.090133043085413; -2.9098669116791553; 10.890450328928104; -5.1095496710719415; -9.999986800713003; -19.954218288460865
# [finished at 2025-06-01T18:49:41.754]
