# SFH state properties. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; E; δn_M^2; S [calculated 2025-06-01T17:57:40.442]
30; -2.0; -60.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; -1.793103448275862; -53.79310344827588; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; -1.5862068965517242; -47.5862068965517; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; -1.3793103448275863; -41.37931034482761; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; -1.1724137931034482; -35.172413793103445; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; -0.9655172413793104; -29.09897673632441; [0.08999999999999946, 0.1585989486234279, 0.20835807109811155, 0.24229075978018877, 0.26359405864800134, 0.2753766916564017, 0.28041844339419253, 0.28099014224203855, 0.2787537571492405, 0.2747497148442742, 0.2694653835861817, 0.2629667617880757, 0.2550665577374327, 0.24549737167623406, 0.23405923353662192, 0.22071617126500442]; [0.3250829733914829, 0.509768100569775, 0.6423779860035838, 0.7431957024480801, 0.8220592376208536, 0.884779304306419, 0.9351220359883866, 0.9756599580933123, 1.0082063254363336, 1.0340622279768386, 1.054167514672322, 1.06919722533848, 1.079624666352146, 1.085762637033013, 1.0877893347238872, 1.0857626370330358, 1.0796246663521867, 1.0691972253385364, 1.054167514672394, 1.034062227976928, 1.0082063254364362, 0.9756599580934103, 0.9351220359884598, 0.8847793043064606, 0.8220592376208645, 0.743195702448067, 0.6423779860035508, 0.5097681005697305, 0.3250829733914475]
30; -0.7586206896551724; -25.22761413011548; [0.2099999999967475, 0.30105293070018874, 0.34099790057505663, 0.3647155967356674, 0.37932065733368003, 0.38603826696164084, 0.38793339639568747, 0.3865521161684848, 0.38180733664793925, 0.3743580238087593, 0.36499490957092834, 0.3536245701287629, 0.34030712456404516, 0.32554531088287103, 0.3093334227918399, 0.2914677424248549]; [0.6108636168599666, 0.8632749051976649, 1.0089409954474027, 1.1067592381369522, 1.1784201359092632, 1.2337130652279957, 1.2776374045941523, 1.3130158837028778, 1.3415752089434476, 1.3644348287737615, 1.3823487302234607, 1.39583410739132, 1.4052425648801854, 1.4108020524868439, 1.4126412621832822, 1.4108019473729898, 1.4052423673692267, 1.3958337857851761, 1.3823482825623834, 1.3644343344938263, 1.3415746938569095, 1.3130153245930187, 1.2776366920616469, 1.2337121207180564, 1.1784188249574084, 1.1067576458254405, 1.008939610547313, 0.8632742519580804, 0.6108636503800915]
30; -0.5517241379310345; -22.800818203754112; [0.23222222221791664, 0.3088238728049614, 0.34368229480469614, 0.3666639847779797, 0.37786083006630844, 0.3834144749050861, 0.3848517245258093, 0.38201232423110326, 0.3768662295347608, 0.36919787096731016, 0.3592354980757779, 0.3478250943781973, 0.33449821908846145, 0.31968974391222865, 0.3036702025191872, 0.28598701557520917]; [0.6571574708722034, 0.9111535927612235, 1.0529320596057803, 1.1480476466077036, 1.2182645317372256, 1.2728168933220019, 1.3163508782321534, 1.3515118092087834, 1.3799412550170729, 1.4027187090099422, 1.4205787857369754, 1.434028563924541, 1.443414312351139, 1.4489613009955071, 1.4507965675040861, 1.4489611946827963, 1.4434141288228293, 1.4340282656298182, 1.4205783342136136, 1.402718146792044, 1.3799406727525443, 1.3515111985792347, 1.3163501719463684, 1.2728160891206075, 1.2182636419220652, 1.1480465008209506, 1.0529307828677872, 0.9111527200793528, 0.6571574835849583]
30; -0.3448275862068966; -21.073282607545934; [0.24555555555534217, 0.3050303814255686, 0.34042851726703005, 0.3594498096768049, 0.36922868613065324, 0.3744548382579575, 0.37411082935342876, 0.37167469228769806, 0.3656476472314639, 0.3580240821827918, 0.3481460333900547, 0.3366277736761199, 0.3237520861688294, 0.3091186771368085, 0.2936180076719491, 0.2763566680534127]; [0.6842316952640513, 0.9378241060909601, 1.0770012776232603, 1.1706815212550699, 1.2402445109755387, 1.2944953674008943, 1.3378780230260496, 1.3729541608220661, 1.401331668319382, 1.4240752749235364, 1.4419125975893927, 1.4553470462712836, 1.4647229032820488, 1.4702642394005312, 1.4720977048768584, 1.4702641599639532, 1.464722732633506, 1.4553467779659415, 1.4419122056895062, 1.4240747845192012, 1.4013310183772567, 1.3729532888233185, 1.3378770937722062, 1.2944944129505782, 1.2402435630622237, 1.1706805508886262, 1.0770001005959666, 0.9378231088852983, 0.6842316993202076]
30; -0.13793103448275862; -19.754503070234573; [0.24999999999999997, 0.29534508880382254, 0.33222056432058417, 0.34608630191555995, 0.3572585956266224, 0.3595864419498281, 0.36045260311669053, 0.35637394798342975, 0.3513382248746492, 0.34295389137465315, 0.33388310976709773, 0.32224383152041386, 0.31008537016998095, 0.2957568845999215, 0.28102136065724004, 0.26428683012923876]; [0.6931471805599317, 0.9462312231814941, 1.0844878569283973, 1.177716572221276, 1.2470908777777154, 1.3012590171682905, 1.344600173566117, 1.37965265619505, 1.4080154660900484, 1.4307490796879843, 1.4485796701461708, 1.462009362306463, 1.4713822537115209, 1.4769219387618722, 1.4787549044659096, 1.4769218290706825, 1.471382037600353, 1.4620090461079946, 1.4485792618985966, 1.4307485956946038, 1.4080149295563598, 1.3796520035214122, 1.3445993543344466, 1.301258123270713, 1.2470898966230601, 1.177715688606014, 1.0844869697996147, 0.9462304033024199, 0.6931471805599407]
