# Fermi-Hubbard model DMRG. L=26, N=13
# V; μ; E; k; D; ρ [calculated 2025-05-29T19:26:34.178]
-3.0; 0.0; -73.99997058844984; NaN; -2.5292726606085765; 0.9615384609546687
-3.0; 0.061224489795918366; -75.5305248376303; 7.538461522779797; -16.843195552773203; 0.9615384605783549
-3.0; 0.12244897959183673; -77.0611076790627; -8.25093438017177e-10; -13.07173446922721; 0.961538460527839
-3.0; 0.1836734693877551; -78.59181414934116; 1.2643203669189989e-8; 3.486568917090156; 0.9615384613019127
-3.0; 0.24489795918367346; -80.12230094129315; -1.6422996481265297e-8; 42.459798352727454; 0.9615384602964231
-3.0; 0.30612244897959184; -81.65294233539764; -6.329381167328543e-9; 31.344109691016648; 0.96153845990891
-3.0; 0.3673469387755102; -83.18364065363541; 2.1593278831666393e-8; 55.851949159652676; 0.9615384612309474
-3.0; 0.42857142857142855; -84.71407585422428; -1.7760176736677155e-8; -77.46376090023445; 0.9615384601435897
-3.0; 0.4897959183673469; -86.24487050772792; 1.7018289518352006e-8; 4.998818459692918; 0.9615384611855258
-3.0; 0.5510204081632653; -87.77533694077165; -1.3540590500700971e-8; -50.86583105085535; 0.96153846035651
-3.0; 0.6122448979591837; -89.30610280474583; 1.673571477696828e-8; 5.923998631089214; 0.9615384613811456
-3.0; 0.673469387755102; -90.83671499336758; -8.677492058239984e-11; 6.191120026517534; 0.9615384613758329
-3.0; 0.7346938775510204; -92.3672006021621; -1.2286348087068656e-8; -48.1595942935354; 0.9615384606236075
-3.0; 0.7959183673469388; -93.89793712221133; 1.0840371415336381e-8; 4.323793483711039; 0.9615384612873037
-3.0; 0.8571428571428571; -95.42854520872645; 3.481115395942427e-11; 117.66758191593267; 0.961538461289435
-3.0; 0.9183673469387755; -96.95885852091875; -2.8080428130886964e-8; -117.12189598458401; 0.9615384595702251
-3.0; 0.9795918367346939; -98.48976555248724; 2.870058964562126e-8; 1.1103008194679165; 0.9615384613274041
-3.0; 1.0408163265306123; -100.02026186801909; -1.3159403196757073e-8; -47.89670753431811; 0.9615384605217263
-3.0; 1.1020408163265305; -101.55090149951957; 5.448356321657869e-9; -28.802763276594906; 0.9615384608552991
-3.0; 1.163265306122449; -103.08141852711535; -1.6642997461661442e-8; 47.087175647547774; 0.9615384598363401
-3.0; 1.2244897959183674; -104.61195354551107; -4.853406010418831e-9; -23.376824776084295; 0.9615384595391928
-3.0; 1.2857142857142858; -106.14281785090928; 2.862346363633839e-8; 3.6582472199662854; 0.9615384612916498
-3.0; 1.346938775510204; -107.67343672625398; 3.039379858904575e-10; 94.95943791540813; 0.9615384613102582
